id,TryStartLine,TryEndLine,TryLOC,CatchStartLine,CatchEndLine,CatchLOC,CatchStart,CatchLength,MethodStartLine,MethodEndLine,MethodLOC,Binded,RecoveredBinding,Kind,Checked,ParentNodeType,RecoverFlag,InnerCatch,ParentTryStartLine,Logged,MultiLog,Abort,Default,GetCause,OtherInvocation,NumThrown,NumThrowNew,NumThrowWrapCurrentException,Return,Continue,EmptyBlock,CatchException,FinallyThrowing,NumDistinctMethods,NumMethodsNotBinded,NumDistinctExceptions,NumSpecificHandler,NumSubsumptionHandler,NumSupersumptionHandler,NumOtherHandler,MaxLevel,NumIsBindingInfo,NumIsDocSemantic,NumIsDocSyntax,NumIsThrow,ToDo,ExceptionType,ParentMethod,ParentType,FilePath,StartLine
32,122,130,7,130,133,1,4613,60,121,135,13,1,1,-1,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,1,0,0,0,0,0,"JMSException","requestHeaders(StringBuilder,Message)","org.apache.jmeter.protocol.jms.Utils","C:\Users\pavan\Downloads\jmeter-master\src\protocol\jms\src\main\java\org\apache\jmeter\protocol\jms\Utils.java",130
33,128,131,2,131,134,0,4964,47,126,136,8,1,0,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"java.lang.CloneNotSupportedException","clone()","org.apache.jmeter.timers.SyncTimer.BarrierWrapper","C:\Users\pavan\Downloads\jmeter-master\src\components\src\main\java\org\apache\jmeter\timers\SyncTimer.java",131
34,1554,1556,1,1556,1559,1,45845,82,1553,1560,6,1,0,1,1,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"java.lang.CloneNotSupportedException","clone()","org.apache.jmeter.samplers.SampleResult","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\samplers\SampleResult.java",1556
35,603,610,5,610,613,1,25861,74,602,614,10,1,0,1,1,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,"java.lang.CloneNotSupportedException","clone()","org.apache.jmeter.samplers.SampleSaveConfiguration","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\samplers\SampleSaveConfiguration.java",610
36,86,91,4,91,94,1,2730,86,85,95,9,1,0,1,1,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"java.lang.CloneNotSupportedException","clone()","org.apache.jmeter.testelement.property.AbstractProperty","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\testelement\property\AbstractProperty.java",91
37,1528,1540,12,1551,1556,2,65938,305,1526,1597,62,1,0,1,1,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,5,1,0,1,3,2,5,0,0,0,0,"java.security.cert.CertificateExpiredException","initDynamicKeyStore()","org.apache.jmeter.protocol.http.proxy.ProxyControl","C:\Users\pavan\Downloads\jmeter-master\src\protocol\http\src\main\java\org\apache\jmeter\protocol\http\proxy\ProxyControl.java",1551
38,152,199,33,199,204,3,8343,136,149,207,42,1,0,1,1,31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,27,2,5,0,3,0,2,14,5,0,0,0,0,"java.security.GeneralSecurityException","verifySignature(SMIMEAssertionTestElement,SMIMESignedParser,String)","org.apache.jmeter.assertions.SMIMEAssertion","C:\Users\pavan\Downloads\jmeter-master\src\components\src\main\java\org\apache\jmeter\assertions\SMIMEAssertion.java",199
39,99,108,6,108,111,1,3751,49,73,119,36,1,0,1,1,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,11,0,9,0,8,0,1,2,9,0,1,0,0,"java.security.GeneralSecurityException","createSocket(String,int)","org.apache.jmeter.rmi.SSLRMIClientSocketFactory","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\rmi\SSLRMIClientSocketFactory.java",108
40,122,128,5,129,132,1,4459,96,121,133,10,1,0,1,1,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,5,0,3,0,2,1,5,0,0,0,0,"java.security.GeneralSecurityException","loadStore(String,char[],String)","org.apache.jmeter.rmi.SSLRMIClientSocketFactory","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\rmi\SSLRMIClientSocketFactory.java",129
41,115,124,6,124,127,1,4340,49,91,144,44,1,0,1,1,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,11,0,9,0,8,0,1,2,9,0,1,0,0,"java.security.GeneralSecurityException","createServerSocket(int)","org.apache.jmeter.rmi.SSLRMIServerSocketFactory","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\rmi\SSLRMIServerSocketFactory.java",124
