File Path,Project,Distinct count of Issue Key POST,Distinct count of Issue Key PRE,Churn PRE,Distinct count of Author Email PRE,Distinct count of Commit Hash PRE
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/SearchTextExtension.java,Jmeter,0,0,2,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/SearchTreePanel.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/SearchableTreeNode.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/SimpleDataWriter.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/StatGraphProperties.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/StatGraphVisualizer.java,Jmeter,0,0,14,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/StatVisualizer.java,Jmeter,0,0,2,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/SummaryReport.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/TableVisualizer.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/TreeNodeRenderer.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/ViewResultsFullVisualizer.java,Jmeter,0,2,30,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/XMLDefaultMutableTreeNode.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/AbstractBackendListenerClient.java,Jmeter,0,0,24,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/BackendListener.java,Jmeter,0,0,1,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/BackendListenerClient.java,Jmeter,0,0,75,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/BackendListenerContext.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/BackendListenerGui.java,Jmeter,0,0,6,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/ErrorMetric.java,Jmeter,0,1,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/SamplerMetric.java,Jmeter,1,0,51,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/UserMetric.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/WindowMode.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/graphite/AbstractGraphiteMetricsSender.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/graphite/GraphiteBackendListenerClient.java,Jmeter,1,0,2,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/graphite/GraphiteMetricsSender.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/graphite/PickleGraphiteMetricsSender.java,Jmeter,0,0,6,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/graphite/SocketConnectionInfos.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/graphite/SocketOutputStream.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/graphite/SocketOutputStreamPoolFactory.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/visualizers/backend/graphite/TextGraphiteMetricsSender.java,Jmeter,0,0,0,1,1
