Kind,Project,Name,File Path,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/MultiSliceRequest.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/MultiSliceRequest.java,3,2,3,1,12,0,11,0,6,3,12,67,65,64,16,67,1,2,0,64,1042,120,845,169,532,95,396,597,159,474,20,20,44,20,4,0.11,223,198,253,109
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/Mutation.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/Mutation.java,2,2,2,1,8,0,8,0,6,3,6,42,40,39,7,42,1,2,0,39,537,73,412,112,228,58,186,287,101,203,8,8,16,8,3,0.14,101,96,111,60
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/NotFoundException.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/NotFoundException.java,1,1,1,1,5,0,4,0,6,3,4,32,30,29,2,32,1,2,0,29,307,54,206,88,77,47,89,141,78,70,3,4,3,3,2,0.23,42,47,42,36
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/SchemaDisagreementException.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/SchemaDisagreementException.java,1,1,1,1,5,0,4,0,6,3,4,32,30,29,2,32,1,2,0,29,310,54,206,88,77,50,89,141,78,70,3,4,3,3,2,0.24,42,47,42,36
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/SlicePredicate.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/SlicePredicate.java,2,2,2,1,9,0,8,0,6,3,6,45,43,42,7,45,1,2,0,42,588,76,453,120,245,65,204,314,113,221,8,8,16,8,4,0.14,110,105,120,63
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/SliceRange.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/SliceRange.java,2,2,2,1,9,0,8,0,6,3,10,57,55,54,11,57,1,2,0,54,749,100,581,143,354,80,288,414,126,305,14,14,26,14,3,0.14,142,127,156,87
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/SuperColumn.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/SuperColumn.java,2,2,2,1,8,0,7,0,6,3,6,48,46,45,6,48,1,2,0,45,582,79,450,122,241,59,208,313,114,217,8,8,16,8,4,0.13,107,102,117,66
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/TimedOutException.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/TimedOutException.java,2,2,2,1,9,0,8,1,6,3,10,47,45,44,10,47,1,2,0,44,671,82,481,127,284,117,233,344,115,250,11,11,23,11,3,0.24,116,106,131,71
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/TokenRange.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/TokenRange.java,3,2,3,1,11,0,10,0,6,3,9,67,65,64,13,67,1,2,0,64,990,110,822,173,489,73,382,574,169,443,17,17,37,17,4,0.09,206,186,231,103
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/TriggerDef.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/TriggerDef.java,2,2,2,1,8,0,8,0,6,3,6,45,43,42,6,45,1,2,0,42,568,76,440,121,236,58,205,306,112,212,8,8,16,8,4,0.13,100,95,110,63
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/UnavailableException.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/UnavailableException.java,1,1,1,1,5,0,4,0,6,3,4,32,30,29,2,32,1,2,0,29,307,54,206,88,77,47,89,141,78,70,3,4,3,3,2,0.23,42,47,42,36
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/cassandraConstants.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/cassandraConstants.java,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,61,6,29,28,1,26,27,28,28,0,0,0,0,0,0,0.9,0,0,0,0
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/AllowAllAuthenticator.java,cassandra/src/java/org/apache/cassandra/auth/AllowAllAuthenticator.java,1,1,1,1,3,0,3,0,2,0,1,9,9,9,0,9,0,0,0,9,78,13,48,19,8,17,15,26,19,8,1,1,1,1,0,0.35,9,9,9,9
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/AllowAllAuthorizer.java,cassandra/src/java/org/apache/cassandra/auth/AllowAllAuthorizer.java,1,1,1,1,3,0,3,0,1,0,0,10,10,10,0,10,0,0,0,10,71,11,43,15,6,17,9,20,14,6,1,1,1,1,0,0.4,10,10,10,10
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/AllowAllInternodeAuthenticator.java,cassandra/src/java/org/apache/cassandra/auth/AllowAllInternodeAuthenticator.java,1,1,1,1,3,0,3,0,1,0,0,2,2,2,0,2,0,0,0,2,36,5,13,6,1,18,4,7,6,1,1,1,1,1,0,1.38,2,2,2,2
